codigo;componente_curricular;ch
LIC_PED_0097;Educação Para As Relações Étnico-Raciais E Diversidades;60.0
LIC_PED_0099;Culturas Tecnológicas Educativas;60.0
LIC_PED_0100;Didática Educacional;60.0
LIC_PED_0102;Psicologia Da Educação E Do Desenvolvimento Humano;60.0
LIC_PED_0103;Planejamento Educacional;60.0
LIC_PED_0104;Currículo E Organização Pedagógica;60.0
LIC_PED_0105;Estudo Da Língua Brasileira De Sinais;60.0
LIC_PED_0106;Sociologia E Antropologia Na Educação;60.0
LIC_PED_0107;Fundamentos Da Educação Infantil;60.0
LIC_PED_0108;Arte E Educação;60.0
LIC_PED_0109;Alfabetização E Letramento;60.0
LIC_PED_0110;Avaliação Da Aprendizagem E Dos Processos De Ensino;60.0
LIC_PED_0111;Práticas Pedagógicas Na Educação Inclusiva;60.0
LIC_PED_0112;Legislação E Políticas Públicas Da Educação Básica;60.0
LIC_PED_0113;Corpo E Movimento;60.0
LIC_PED_0114;Metodologia Do Ensino Da Língua Portuguesa;60.0
LIC_PED_0116;Metodologia Do Ensino De História E Geografia;60.0
LIC_PED_0117;Metodologia Do Ensino Da Matemática;60.0
LIC_PED_0118;Metodologia Do Ensino De Ciências E Educação Ambiental;60.0
LIC_PED_0120;Fundamentos Da Orientação Educacional;60.0
LIC_PED_0121;Gestão E Organização Da Educação Básica;60.0
LIC_PED_0122;Metodologia Da Pesquisa;60.0
LIC_PED_0123;Práticas Pedagógicas No Ensino Médio;60.0
LIC_PED_0124;Fundamentos Da Supervisão Educacional;60.0
LIC_PED_0125;Educação Profissional E Trabalho;60.0
LIC_PED_0126;Educação Quilombola, Indígena E No Campo;60.0
LIC_PED_0127;Práticas Pedagógicas Em Contextos Não Escolares;60.0
LIC_PED_0128;Fundamentos Da Inspeção Escolar;60.0
LIC_PED_0129;Orientação Escolar;60.0
LIC_PED_0130;Práticas Pedagógicas na Educação Infantil;80.0
LIC_PED_0131;Metodologia da Educação Inclusiva;60.0
LIC_PED_0132;Práticas Pedagógicas no Ensino Fundamental;80.0
LIC_TCC_0001;Trabalho de Conclusão de Curso;60.0
LIC_TCC_0002;Trabalho de Conclusão de Curso;80.0
LIC_TCC_0003;Trabalho de Conclusão de Curso;120.0
LIC_TCC_0004;Trabalho de Conclusão de Curso;160.0
LIC_TCC_0005;Trabalho de Conclusão de Curso;200.0
LIC_TCC_0006;Trabalho de Conclusão de Curso;240.0
LIC_TCC_0007;Trabalho de Conclusão de Curso;280.0
LIC_TCC_0008;Trabalho de Conclusão de Curso;320.0
LIC_TCC_0009;Trabalho de Conclusão de Curso;400.0
LIC_TCC_0010;TCC I;60.0
LIC_TCC_0011;TCC II;60.0
